date,city,store,product,sales_revenue_aud,orders,customers,sales_channel,notes
2024-01-01,Sydney,Sydney CBD,Urban Waterproof Jacket,1765.89,0,16,In-store,Invalid orders value;
2024-01-01,Melbourne,Melbourne Central,Classic Rain Jacket,2144.81,22,20,In-store,
2024-01-01,Brisbane,Brisbane Queen St,Classic Rain Jacket,1427.01,15,12,In-store,
2024-01-01,Perth,Perth Murray St,Classic Rain Jacket,2659.15,27,26,Online,
2024-01-02,Sydney,Sydney CBD,Lightweight Poncho,2183.62,16,14,In-store,
2024-01-02,Melbourne,Melbourne Central,Premium Storm Jacket,2392.3,22,22,Online,
2024-01-02,Brisbane,Brisbane Queen St,Lightweight Poncho,2395.73,25,22,Online,
2024-01-02,Perth,Perth Murray St,Lightweight Poncho,4598.73,49,36,Online,
2024-01-03,Sydney,Sydney CBD,Lightweight Poncho,3327.33,18,0,phone,Missing customers;
2024-01-03,Melbourne,Melbourne Central,Premium Storm Jacket,4872.03,24,19,Online,
2024-01-03,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3422.66,20,19,In-store,
2024-01-03,Perth,Perth Murry St,Urban Waterproof Jacket,775.37,9,8,walk in,
2024-01-04,Sydney,Sydney CBD,Urban Waterproof Jacket,3335.6,23,20,walk in,
2024-01-04,Melbourne,Melbourne Central,Urban Waterproof Jacket,2362.0,27,23,walk in,
2024-01-04,Brisbane,Brisbane Queen St,Premium Storm Jacket,2661.67,21,16,Online,
2024-01-04,Perth,Perth Murray St,Classic Rain Jacket,2642.31,29,23,Online,
2024-01-05,Sydney,Sydney CBD,Urban Waterproof Jacket,5953.38,36,31,phone,
2024-01-05,Unknown,Melbourne Central,Urban Waterproof Jacket,3524.19,30,28,phone,Missing city;
2024-01-05,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,0.0,25,19,phone,Missing revenue;
2024-01-05,Perth,Perth Murray St,Classic Rain Jacket,2567.96,16,12,In-store,
2024-01-06,Sydney,Sydney CBD,Classic Rain Jacket,2370.66,0,19,phone,Missing orders;
2024-01-06,Melbourne,Melbourne Central,Premium Storm Jacket,1878.63,22,17,Online,
2024-01-06,Brisbane,Brisbane Queen St,Premium Storm Jacket,2758.2,25,19,In-store,
2024-01-06,Perth,Perth Murray St,Lightweight Poncho,2703.31,19,15,In-store,
2024-01-07,Sydney,Sydney CBD,Classic Rain Jacket,1180.94,15,12,walk in,
2024-01-07,Melbourne,Melbourne Central,Lightweight Poncho,945.75,10,8,In-store,
2024-01-07,Brisbane,Brisbane Queen St,Premium Storm Jacket,2542.15,18,15,Online,
2024-01-07,Perth,Perth Murray St,Urban Waterproof Jacket,1453.77,15,12,In-store,
2024-01-08,Sydney,Sydney CBD,Urban Waterproof Jacket,1041.32,10,8,In-store,City typo/inconsistent format;
2024-01-08,Melbourne,Melbourne Central,Premium Storm Jacket,2036.26,23,20,In-store,
2024-01-08,Brisbane,Brisbane Queen St,Premium Storm Jacket,3599.29,23,18,Online,
2024-01-08,Perth,Perth Murray St,Lightweight Poncho,2431.78,19,16,phone,
2024-01-09,Sydney,Sydney CBD,Classic Rain Jacket,2733.4,26,22,Online,
2024-01-09,Melbourne,Melbourne Central,Lightweight Poncho,2907.07,26,19,walk in,
2024-01-09,Brisbane,Brisbane Queen St,Premium Storm Jacket,1091.13,10,9,Online,
2024-01-09,Perth,Perth Murray St,Classic Rain Jacket,2831.98,29,25,phone,
2024-01-10,Sydney,Syd CBD,Lightweight Poncho,4040.19,40,30,Online,
2024-01-10,Melbourne,Melbourne Central,Urban Waterproof Jacket,3085.35,32,33,In-store,
2024-01-10,Brisbane,Brisbane Queen St,Lightweight Poncho,2893.12,22,21,In-store,
2024-01-10,Perth,Perth Murray St,Premium Storm Jacket,1395.6,16,15,walk in,
2024-01-11,Sydney,Sydney CBD,Lightweight Poncho,1745.05,21,21,phone,
2024-01-11,Melbourne,Melbourne Central,Premium Storm Jacket,2056.86,17,17,In-store,
2024-01-11,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3611.29,21,17,phone,
2024-01-11,Perth,Perth Murray St,Lightweight Poncho,3054.52,34,30,Online,
2024-01-12,Sydney,Sydney CBD,Urban Waterproof Jacket,1808.49,20,15,In-store,
2024-01-12,Melbourne,Melbourne Central,Premium Storm Jacket,1952.01,20,20,Online,
2024-01-12,Brisbane,Brisbane Queen St,Lightweight Poncho,1259.48,9,7,In-store,
2024-01-12,Unknown,Perth Murray St,Urban Waterproof Jacket,1874.17,12,9,phone,
2024-01-13,Sydney,Sydney CBD,Lightweight Poncho,1713.15,13,13,walk in,
2024-01-13,Melbourne,Melbourne Central,Classic Rain Jacket,2531.81,15,14,In-store,
2024-01-13,Brisbane,Brisbane Queen St,Classic Rain Jacket,1309.95,7,5,Online,
2024-01-13,Perth,Perth Murray St,Classic Rain Jacket,1872.06,15,14,In-store,
2024-01-14,Sydney,Sydney CBD,Urban Waterproof Jacket,3662.65,19,17,In-store,
2024-01-14,Melbourne,Melbourne Central,Lightweight Poncho,4177.42,24,21,walk in,
2024-01-14,Brisbane,Brisbane Queen St,Lightweight Poncho,3379.26,25,22,In-store,
2024-01-14,Perth,Perth Murray St,Urban Waterproof Jacket,3849.13,21,17,In-store,
2024-01-15,Sydney,Sydney CBD,Lightweight Poncho,1277.36,10,8,In-store,
2024-01-15,Melbourne,Melbourne Central,Classic Rain Jacket,6835.38,34,29,phone,
2024-01-15,Brisbane,Brisbane Queen St,Classic Rain Jacket,3975.49,24,20,walk in,
2024-01-15,Perth,Perth Murray St,Classic Rain Jacket,1153.17,15,12,Online,
2024-01-16,Sydney,Sydney CBD,Lightweight Poncho,1547.78,17,17,Online,
2024-01-16,Melbourne,Melbourne Central,Classic Rain Jacket,2349.18,20,20,In-store,
2024-01-16,Brisbane,Brisbane Queen St,Lightweight Poncho,3498.72,35,34,In-store,
2024-01-16,Perth,Perth Murray St,Premium Storm Jacket,2261.8,22,21,Online,
2024-01-17,Sydney,Sydney CBD,Classic Rain Jacket,5030.11,25,21,Online,
2024-01-17,Melbourne,Melbourne Central,Premium Storm Jacket,0.0,8,6,In-store,Revenue stored as text;
2024-01-17,Brisbane,Brisbane Queen St,Classic Rain Jacket,4074.33,24,18,phone,
2024-01-17,Perth,Perth Murray St,Premium Storm Jacket,2762.54,25,19,In-store,
2024-01-18,Sydney,Sydney CBD,Classic Rain Jacket,1223.05,13,13,walk in,
2024-01-18,Melbourne,Melbourne Central,Urban Waterproof Jacket,3137.95,24,24,Online,
2024-01-18,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3655.25,24,19,Online,
2024-01-18,Perth,Perth Murray St,Classic Rain Jacket,1264.55,16,12,In-store,
2024-01-19,Sydney,Sydney CBD,Classic Rain Jacket,2163.67,28,24,Online,
2024-01-19,Melbourne,Melbourne Central,Urban Waterproof Jacket,3046.28,16,15,walk in,
2024-01-19,Brisbane,Brisbane Queen St,Premium Storm Jacket,3185.27,20,17,In-store,
2024-01-19,Perth,Perth Murray St,Classic Rain Jacket,2919.55,29,24,phone,
2024-01-20,Sydney,Sydney CBD,Classic Rain Jacket,2050.11,15,12,Online,
2024-01-20,Melbourne,Melbourne Central,Classic Rain Jacket,3269.88,32,31,In-store,
2024-01-20,Brisbane,Brisbane Queen St,Premium Storm Jacket,2357.78,21,17,In-store,
2024-01-20,Perth,Perth Murray St,Premium Storm Jacket,4165.82,30,27,Online,
2024-01-21,Sydney,Sydney CBD,Lightweight Poncho,3010.05,27,26,In-store,
2024-01-21,Melbourne,Melbourne Central,Lightweight Poncho,5354.49,42,40,Online,
2024-01-21,Brisbane,Brisbane Queen St,Classic Rain Jacket,698.48,8,8,Online,
2024-01-21,Perth,Perth Murray St,Classic Rain Jacket,1250.53,11,11,Online,
